Product ID,Published State,Purchase Type,Auto Translate,Locale; Title; Description,Auto Fill Prices,Price,Pricing Template ID
com.duffetywong.draftmaster2rollingthunder.negotiator,published,managed_by_android,false,en_US;Negotiator;Unlimited Transfer Contracts!,true,4990000,
com.duffetywong.draftmaster2rollingthunder.gears60,published,managed_by_android,false,en_US;60 Gears;50 Gears (+10 Bonus) for use in the store.,true,1990000,
com.duffetywong.draftmaster2rollingthunder.gears125,published,managed_by_android,false,en_US;125 Gears;100 Gears (+25 Bonus) to use in the store.,true,4990000,
com.duffetywong.draftmaster2rollingthunder.gears200,published,managed_by_android,false,en_US;200 Gears;150 Gears (+50 Bonus) to use in the store.,true,9990000,
com.duffetywong.draftmaster2rollingthunder.gears500,published,managed_by_android,false,en_US;500 Gears;300 Gears (+200 Bonus) to use in the store.,true,19990000,
com.duffetywong.draftmaster2rollingthunder.smallgears,published,managed_by_android,false,en_US;80 Gears;80 Gears to use in the store.,true,1990000,
com.duffetywong.draftmaster2rollingthunder.mediumgears,published,managed_by_android,false,en_US;250 Gears;200 Gears (+50 Bonus) to use in the store.,true,4990000,
com.duffetywong.draftmaster2rollingthunder.largegears,published,managed_by_android,false,en_US;600 Gears;400 Gears (+200 Bonus) to use in the store.,true,9990000,
com.duffetywong.draftmaster2rollingthunder.extralargegears,published,managed_by_android,false,en_US;1500 Gears;800 Gears (+700 Bonus) to use in the store.,true,19990000,
